Input file: /home/a-m/ib501_stud12/shell/Grobelny_hw6_output/velvetout_kmer_49_opts_cutoff_8min_contig_len_500/contigs.fa
 
#--- Velvethg_qc: Assembly Quality Stats ---#

Stats for Assembly:	/home/a-m/ib501_stud12/shell/Grobelny_hw6_output/velvetout_kmer_49_opts_cutoff_8min_contig_len_500/contigs.fa
Number of contigs:	16353
Max contig length:	25713
Mean contig length:	1651.42328625
Total length of the genome across all contigs:	27005725
Mean depth of coverage:	25.285892791
N50 of assembly:	20713585
Contig Length	Number of Contigs in this category
500	1944

600	1581

700	1320

800	1151

900	984

1000	860

1100	778

1200	686

1300	603

1400	551

1500	457

1600	415

1700	365

1800	368

1900	330

2000	289

2100	280

2200	205

2300	209

2400	216

2500	186

2600	172

2700	171

2800	131

2900	133

3000	111

3100	135

3200	92

3300	93

3400	84

3500	82

3600	68

3700	76

3800	73

3900	52

4000	50

4100	57

4200	47

4300	57

4400	49

4500	54

4600	46

4700	37

4800	47

4900	24

5000	39

5100	34

5200	23

5300	25

5400	28

5500	23

5600	25

5700	27

5800	19

5900	14

6000	17

6100	21

6200	16

6300	18

6400	15

6500	12

6600	10

6700	15

6800	11

6900	16

7000	10

7100	6

7200	8

7300	12

7400	11

7500	4

7600	11

7700	5

7800	5

7900	4

8000	6

8100	7

8200	6

8300	7

8400	6

8500	6

8600	8

8700	7

8800	7

8900	4

9000	3

9100	3

9200	9

9300	1

9400	3

9500	1

9600	3

9700	1

9800	5

9900	2

10000	2

10100	2

10200	3

10300	3

10500	1

10800	2

10900	2

11000	2

11100	1

11300	1

11400	1

11500	1

11700	2

11800	3

12100	2

12200	1

12600	1

12700	2

12800	2

13200	1

13500	2

13700	3

13900	2

14000	1

14100	2

14300	1

15200	1

16200	1

17100	1

17400	1

19100	1

19300	1

21300	1

25100	1

25700	1

